province,district,sector,property_type,bedrooms,bathrooms,square_meters,parking_spaces,year_built,furnished,nearby_school,nearby_hospital,nearby_road,security_level,internet_access,market_demand,house_condition,land_size,predicted_market_value
Southern Province,Ruhango,Ruhango,House,3,2,117,1,1998,1,1,1,1,1,2,2,1,530,39100000
Western Province,Rusizi,Gikundamvura,Mansion,4,3,189,2,2022,0,1,0,1,1,2,1,2,420,60700000
Southern Province,Gisagara,Mukindo,Apartment,1,1,58,1,2000,0,1,1,1,2,2,0,0,160,12600000
Southern Province,Nyaruguru,Munini,House,4,4,142,0,2002,1,1,1,1,0,1,2,2,230,33000000
Western Province,Rubavu,Cyanzarwe,Villa,4,4,133,2,2006,0,1,0,1,1,1,2,2,210,39500000
Western Province,Ngororero,Kageyo,Apartment,2,2,95,1,1997,0,1,0,0,2,2,2,1,300,23800000
Northern Province,Gakenke,Muyongwe,Apartment,1,1,55,2,1995,1,1,1,1,2,0,2,1,140,10000000
Southern Province,Nyamagabe,Tare,House,3,2,108,1,2009,1,1,1,1,2,2,1,2,510,32700000
Northern Province,Musanze,Gacaca,Apartment,2,1,70,1,2015,1,1,1,1,1,2,1,2,310,23000000
Northern Province,Gicumbi,Rushaki,House,3,2,103,2,2020,0,0,1,1,2,2,2,2,250,33900000
Eastern Province,Bugesera,Rilima,House,5,4,195,1,2014,1,1,1,1,1,1,1,2,950,77300000
Southern Province,Nyanza,Busasamana,Apartment,1,1,44,1,2019,0,1,1,1,0,1,1,1,200,10200000
Eastern Province,Gatsibo,Murambi,Apartment,3,3,77,3,2019,1,1,0,1,2,2,1,1,310,23100000
Western Province,Nyamasheke,Kirimbi,Villa,3,2,141,2,2015,1,1,1,0,1,1,2,2,550,41600000
Eastern Province,Kayonza,Mukarange,Villa,3,2,121,1,2022,0,1,1,1,0,2,0,2,430,30500000
Southern Province,Huye,Mukura,Apartment,3,2,97,1,2022,0,1,1,1,1,1,1,1,350,32900000
Eastern Province,Kirche,Mpanga,Apartment,3,3,87,2,2017,0,1,0,1,2,2,0,2,210,25600000
Western Province,Rubavu,Rugerero,House,4,4,216,3,2012,1,0,1,1,1,2,1,1,640,107100000
Eastern Province,Kirche,Musaza,House,4,3,164,1,2006,1,1,1,1,2,1,1,2,660,55200000
Western Province,Rusizi,Gihundwe,Villa,4,4,149,2,2016,0,1,1,1,1,1,1,2,570,53200000
Eastern Province,Rwamagana,Musha,Villa,4,4,199,0,1999,0,1,1,1,2,1,1,2,700,58700000
Southern Province,Ruhango,Kinazi,Villa,4,3,194,2,2005,0,1,1,1,1,2,2,1,670,58800000
Western Province,Ngororero,Bwira,Apartment,2,1,72,0,2002,1,1,1,1,1,1,2,1,260,14700000
